index,Continent,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
21,Africa,Nigeria,Jos,307.0,274.0,260.0,220.0,208.0,201.0,151.0,127.0,171.0,242.0,294.0,313.0,2768.0
22,Africa,Nigeria,Kano,275.0,255.0,267.0,252.0,273.0,261.0,233.0,186.0,237.0,295.0,297.0,285.0,3114.0
23,Africa,Nigeria,Sokoto,279.0,269.0,282.0,255.0,279.0,282.0,229.0,208.0,243.0,307.0,297.0,288.0,3238.0
24,Africa,Sudan,Port Sudan,214.0,230.0,282.0,312.0,338.0,309.0,307.0,298.0,300.0,307.0,249.0,236.0,3382.0
25,Africa,Sudan,Khartoum,341.0,311.0,310.0,330.0,300.0,300.0,279.0,279.0,300.0,310.0,330.0,341.0,3737.1
26,Africa,Eritrea,Asmara,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301.0,292.5,299.1,3361.0
27,Africa,Burkina Faso,Ouagadougou,287.0,263.0,264.0,256.0,277.0,264.0,240.0,223.0,217.0,273.0,288.0,284.0,3136.0
28,Africa,Burkina Faso,Ouahigouya,291.0,267.0,280.0,268.0,284.0,272.0,258.0,253.0,261.0,280.0,288.0,280.0,3282.0
29,Africa,Niger,Niamey,297.6,263.2,269.7,252.0,279.0,267.0,257.3,235.6,235.6,282.6,282.0,279.0,3203.2
30,Africa,Chad,N'Djamena,297.6,277.2,282.1,273.0,285.2,258.0,213.9,201.5,228.0,285.2,300.0,303.8,3205.5
31,Africa,Chad,Abéché,316.2,291.2,300.7,300.0,313.1,300.0,254.2,226.3,261.0,306.9,312.0,319.3,3500.9
32,Africa,Gambia,Banjul,279.0,282.0,310.0,300.0,310.0,270.0,186.0,186.0,180.0,248.0,240.0,279.0,3070.0
33,Africa,Senegal,Dakar,253.0,249.0,303.0,301.0,299.0,259.0,233.0,204.0,219.0,254.0,256.0,249.0,3078.0
34,Africa,Senegal,Thiès,267.0,260.0,325.0,332.0,324.0,276.0,226.0,188.0,221.0,267.0,271.0,257.0,3214.0
35,Africa,Somalia,Mogadishu,268.0,251.0,282.0,260.0,273.0,218.0,226.0,253.0,265.0,267.0,261.0,259.0,3082.0
36,Africa,Somalia,Buloburde,290.0,283.0,293.0,249.0,287.0,261.0,216.0,238.0,262.0,230.0,246.0,268.0,3124.0
37,Africa,Djibouti,Djibouti City,254.0,249.0,279.0,279.0,310.0,237.0,236.0,276.0,282.0,310.0,291.0,276.0,3279.0
38,Africa,Mali,Ségou,292.0,276.0,292.0,263.0,274.0,266.0,254.0,223.0,242.0,283.0,287.0,287.0,3239.0
39,Africa,Mali,Timbuktu,283.0,288.0,297.0,283.0,306.0,284.0,294.0,281.0,279.0,291.0,287.0,276.0,3447.0
40,Africa,Mali,Bamako,277.4,253.0,268.1,230.4,242.6,233.6,216.6,218.3,221.7,253.7,270.7,268.9,2954.1
41,Africa,Algeria,Algiers,149.0,165.0,202.0,258.0,319.0,318.0,350.0,319.0,237.0,229.0,165.0,136.0,2847.0
42,Africa,Algeria,Tamanrasset,297.6,275.5,322.4,327.0,328.6,306.0,356.5,331.7,288.0,310.0,285.0,272.8,3686.0
43,Africa,Tunisia,Tunis,145.7,165.3,198.4,225.0,282.1,309.0,356.5,328.6,258.0,217.0,174.0,148.8,2808.4
44,Africa,Tunisia,Gabes,220.1,215.6,251.1,267.0,313.1,321.0,372.0,353.4,279.0,260.4,228.0,210.8,3291.5
